Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:52.148,242653355,intervention,108252216,attack,28252216,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.248,243662840,intervention,109261701,attack,29261701,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.349,244672286,intervention,110271147,attack,30271147,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.451,245691478,intervention,111290339,attack,31290339,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.553,246707757,intervention,112306618,attack,32306618,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.654,247717403,intervention,113316264,attack,33316264,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.756,248736588,intervention,114335449,attack,34335449,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.856,249736017,intervention,115334878,attack,35334878,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.957,250735436,intervention,116334297,attack,36334297,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:53.058,251754858,intervention,117353719,attack,37353719,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:53.158,252764531,intervention,118363392,attack,38363392,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:53.259,253773907,intervention,119372768,attack,39372768,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:53.360,254783375,intervention,120382236,sustain high,382236,1,5,110,100,Q1,1,0,10,
30/01/2019 20:09:53.461,255792754,intervention,121391615,sustain high,1391615,1,5,110,100,Q1,1,0,10,
30/01/2019 20:09:53.577,256952099,intervention,122550960,sustain high,2550960,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:53.664,257821608,intervention,123420469,sustain high,3420469,1,5,110,100,Q5,1,0,11.53888,
30/01/2019 20:09:53.766,258837616,intervention,124436477,sustain high,4436477,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:53.869,259857077,intervention,125455938,sustain high,5455938,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:53.968,260856453,intervention,126455314,sustain high,6455314,1,5,110,100,Q5,1,0,10.03955,
30/01/2019 20:09:54.070,261875865,intervention,127474726,sustain high,7474726,1,5,110,100,Q5,1,0,10,
